City,Hour,Type,DayType,Season,Price
Austin,0,Off-peak,Weekdays,Summer,0.03025
Austin,1,Off-peak,Weekdays,Summer,0.03025
Austin,2,Off-peak,Weekdays,Summer,0.03025
Austin,3,Off-peak,Weekdays,Summer,0.03025
Austin,4,Off-peak,Weekdays,Summer,0.03025
Austin,5,Off-peak,Weekdays,Summer,0.03025
Austin,6,Off-peak,Weekdays,Summer,0.03025
Austin,7,Off-peak,Weekdays,Summer,0.03025
Austin,8,Off-peak,Weekdays,Summer,0.03025
Austin,9,Off-peak,Weekdays,Summer,0.03025
Austin,10,Off-peak,Weekdays,Summer,0.03025
Austin,11,Off-peak,Weekdays,Summer,0.03025
Austin,12,Off-peak,Weekdays,Summer,0.03025
Austin,13,Off-peak,Weekdays,Summer,0.03025
Austin,14,Off-peak,Weekdays,Summer,0.03025
Austin,15,On-Peak,Weekdays,Summer,0.06605
Austin,16,On-Peak,Weekdays,Summer,0.06605
Austin,17,On-Peak,Weekdays,Summer,0.06605
Austin,18,Off-peak,Weekdays,Summer,0.03025
Austin,19,Off-peak,Weekdays,Summer,0.03025
Austin,20,Off-peak,Weekdays,Summer,0.03025
Austin,21,Off-peak,Weekdays,Summer,0.03025
Austin,22,Off-peak,Weekdays,Summer,0.03025
Austin,23,Off-peak,Weekdays,Summer,0.03025
Austin,0,Off-peak,Weekends,Summer,0.03025
Austin,1,Off-peak,Weekends,Summer,0.03025
Austin,2,Off-peak,Weekends,Summer,0.03025
Austin,3,Off-peak,Weekends,Summer,0.03025
Austin,4,Off-peak,Weekends,Summer,0.03025
Austin,5,Off-peak,Weekends,Summer,0.03025
Austin,6,Off-peak,Weekends,Summer,0.03025
Austin,7,Off-peak,Weekends,Summer,0.03025
Austin,8,Off-peak,Weekends,Summer,0.03025
Austin,9,Off-peak,Weekends,Summer,0.03025
Austin,10,Off-peak,Weekends,Summer,0.03025
Austin,11,Off-peak,Weekends,Summer,0.03025
Austin,12,Off-peak,Weekends,Summer,0.03025
Austin,13,Off-peak,Weekends,Summer,0.03025
Austin,14,Off-peak,Weekends,Summer,0.03025
Austin,15,Off-peak,Weekends,Summer,0.03025
Austin,16,Off-peak,Weekends,Summer,0.03025
Austin,17,Off-peak,Weekends,Summer,0.03025
Austin,18,Off-peak,Weekends,Summer,0.03025
Austin,19,Off-peak,Weekends,Summer,0.03025
Austin,20,Off-peak,Weekends,Summer,0.03025
Austin,21,Off-peak,Weekends,Summer,0.03025
Austin,22,Off-peak,Weekends,Summer,0.03025
Austin,23,Off-peak,Weekends,Summer,0.03025
Austin,0,Off-peak,Weekdays,Non-Summer,0.02982
Austin,1,Off-peak,Weekdays,Non-Summer,0.02982
Austin,2,Off-peak,Weekdays,Non-Summer,0.02982
Austin,3,Off-peak,Weekdays,Non-Summer,0.02982
Austin,4,Off-peak,Weekdays,Non-Summer,0.02982
Austin,5,Off-peak,Weekdays,Non-Summer,0.02982
Austin,6,Off-peak,Weekdays,Non-Summer,0.02982
Austin,7,Off-peak,Weekdays,Non-Summer,0.02982
Austin,8,Off-peak,Weekdays,Non-Summer,0.02982
Austin,9,Off-peak,Weekdays,Non-Summer,0.02982
Austin,10,Off-peak,Weekdays,Non-Summer,0.02982
Austin,11,Off-peak,Weekdays,Non-Summer,0.02982
Austin,12,Off-peak,Weekdays,Non-Summer,0.02982
Austin,13,Off-peak,Weekdays,Non-Summer,0.02982
Austin,14,Off-peak,Weekdays,Non-Summer,0.02982
Austin,15,On-Peak,Weekdays,Non-Summer,0.03139
Austin,16,On-Peak,Weekdays,Non-Summer,0.03139
Austin,17,On-Peak,Weekdays,Non-Summer,0.03139
Austin,18,Off-peak,Weekdays,Non-Summer,0.02982
Austin,19,Off-peak,Weekdays,Non-Summer,0.02982
Austin,20,Off-peak,Weekdays,Non-Summer,0.02982
Austin,21,Off-peak,Weekdays,Non-Summer,0.02982
Austin,22,Off-peak,Weekdays,Non-Summer,0.02982
Austin,23,Off-peak,Weekdays,Non-Summer,0.02982
Austin,0,Off-peak,Weekends,Non-Summer,0.02982
Austin,1,Off-peak,Weekends,Non-Summer,0.02982
Austin,2,Off-peak,Weekends,Non-Summer,0.02982
Austin,3,Off-peak,Weekends,Non-Summer,0.02982
Austin,4,Off-peak,Weekends,Non-Summer,0.02982
Austin,5,Off-peak,Weekends,Non-Summer,0.02982
Austin,6,Off-peak,Weekends,Non-Summer,0.02982
Austin,7,Off-peak,Weekends,Non-Summer,0.02982
Austin,8,Off-peak,Weekends,Non-Summer,0.02982
Austin,9,Off-peak,Weekends,Non-Summer,0.02982
Austin,10,Off-peak,Weekends,Non-Summer,0.02982
Austin,11,Off-peak,Weekends,Non-Summer,0.02982
Austin,12,Off-peak,Weekends,Non-Summer,0.02982
Austin,13,Off-peak,Weekends,Non-Summer,0.02982
Austin,14,Off-peak,Weekends,Non-Summer,0.02982
Austin,15,Off-peak,Weekends,Non-Summer,0.02982
Austin,16,Off-peak,Weekends,Non-Summer,0.02982
Austin,17,Off-peak,Weekends,Non-Summer,0.02982
Austin,18,Off-peak,Weekends,Non-Summer,0.02982
Austin,19,Off-peak,Weekends,Non-Summer,0.02982
Austin,20,Off-peak,Weekends,Non-Summer,0.02982
Austin,21,Off-peak,Weekends,Non-Summer,0.02982
Austin,22,Off-peak,Weekends,Non-Summer,0.02982
Austin,23,Off-peak,Weekends,Non-Summer,0.02982
