year,month,day,hour,minute,temperature[C],weather,wind[mph],humidity[%],barameter[mbar],visibility[km]
2018,1,1,0,51,-3,Mostly cloudy,8,74,1038,16
2018,1,1,1,35,-3,Mostly cloudy,9,69,1038,16
2018,1,1,1,51,-3,Overcast,12,66,1039,16
2018,1,1,2,51,-3,Overcast,8,63,1040,16
2018,1,1,3,51,-3,Overcast,9,63,1040,16
2018,1,1,4,51,-3,Overcast,9,60,1040,16
2018,1,1,5,51,-3,Overcast,9,60,1040,16
2018,1,1,6,51,-3,Mostly cloudy,6,57,1041,16
2018,1,1,7,51,-4,Overcast,9,55,1042,16
2018,1,1,8,51,-4,Overcast,8,55,1042,16
2018,1,1,9,51,-3,Mostly cloudy,10,55,1043,16
2018,1,1,10,51,-3,Overcast,10,52,1043,16
2018,1,1,11,51,-2,Partly sunny,5,47,1042,16
2018,1,1,12,51,-1,Overcast,7,47,1041,16
2018,1,1,13,51,-1,Overcast,8,49,1040,16
2018,1,1,14,51,-1,Overcast,6,47,1040,16
2018,1,1,15,51,-1,Overcast,6,47,1039,16
2018,1,1,16,51,0,Overcast,8,47,1039,16
2018,1,1,17,51,-1,Overcast,6,51,1038,16
2018,1,1,18,51,-2,Overcast,9,54,1039,16
2018,1,1,19,51,-1,Overcast,7,49,1039,16
2018,1,1,20,51,-2,Overcast,8,51,1039,16
2018,1,1,21,51,-2,Overcast,6,49,1039,16
2018,1,1,22,51,-2,Overcast,3,49,1039,16
2018,1,1,23,51,-2,Overcast,5,49,1038,16
2018,1,2,0,51,-2,Overcast,6,47,1038,16
2018,1,2,1,51,-2,Overcast,5,47,1038,16
2018,1,2,2,51,-2,Overcast,5,47,1038,16
2018,1,2,3,51,-2,Overcast,5,49,1037,16
2018,1,2,4,51,-2,Overcast,6,51,1037,16
2018,1,2,5,51,-2,Overcast,5,51,1037,16
2018,1,2,6,51,-2,Overcast,3,53,1037,16
2018,1,2,7,51,-2,Overcast,5,53,1037,16
2018,1,2,8,51,-2,Overcast,3,54,1037,16
2018,1,2,9,51,-2,Overcast,6,51,1038,16
2018,1,2,10,51,-1,Overcast,6,45,1037,16
2018,1,2,11,51,-1,Mostly cloudy,5,47,1036,16
2018,1,2,12,51,-1,Mostly cloudy,7,45,1035,16
2018,1,2,13,51,0,Overcast,3,50,1033,16
2018,1,2,14,51,0,Overcast,3,50,1033,16
2018,1,2,15,51,-2,Mostly cloudy,8,79,1034,8
2018,1,2,16,54,-2,Ice fog,6,85,1033,10
2018,1,2,17,13,-2,Mostly cloudy,6,85,1033,11
2018,1,2,17,51,-2,Mostly cloudy,5,85,1034,16
2018,1,2,18,58,-2,Mostly cloudy,7,81,1034,16
2018,1,2,19,23,-2,Mostly cloudy,3,81,1034,16
2018,1,2,19,51,-2,Overcast,6,78,1035,16
2018,1,2,20,29,-2,Overcast,5,78,1034,16
2018,1,2,20,59,-2,Mostly cloudy,6,75,1034,16
2018,1,2,21,51,-3,Partly cloudy,5,75,1036,16
2018,1,2,22,51,-3,Overcast,6,78,1036,16
2018,1,2,23,51,-3,Passing clouds,3,74,1035,16
2018,1,3,0,51,-4,Clear,3,78,1035,16
2018,1,3,1,51,-4,Clear,5,75,1034,16
2018,1,3,2,51,-4,Clear,3,81,1034,16
2018,1,3,3,51,-4,Clear,5,71,1034,16
2018,1,3,4,51,-5,Clear,0,74,1034,16
2018,1,3,5,51,-6,Clear,0,82,1034,16
2018,1,3,6,51,-5,Clear,0,85,1033,16
2018,1,3,7,51,-4,Sunny,5,81,1034,16
2018,1,3,8,51,-2,Sunny,6,75,1034,16
2018,1,3,9,51,1,Sunny,5,63,1034,16
2018,1,3,10,51,3,Sunny,6,51,1033,16
2018,1,3,11,51,6,Sunny,0,45,1032,16
2018,1,3,12,51,9,Sunny,3,37,1030,16
2018,1,3,13,51,11,Sunny,3,31,1029,16
2018,1,3,14,51,13,Sunny,0,27,1028,16
2018,1,3,15,51,13,Sunny,5,24,1028,16
2018,1,3,16,51,13,Sunny,0,24,1028,16
2018,1,3,17,51,11,Clear,3,28,1028,16
2018,1,3,18,51,10,Clear,5,30,1028,16
2018,1,3,19,51,8,Clear,0,37,1029,16
2018,1,3,20,51,6,Clear,0,49,1029,16
2018,1,3,21,51,4,Clear,0,55,1029,16
2018,1,3,22,51,2,Clear,0,64,1030,16
2018,1,3,23,51,1,Clear,0,70,1029,16
2018,1,4,0,51,1,Clear,0,72,1029,16
2018,1,4,1,51,1,Clear,0,72,1028,16
2018,1,4,2,51,-1,Clear,0,79,1028,16
2018,1,4,3,51,2,Clear,3,82,1028,16
2018,1,4,4,51,1,Clear,0,88,1028,16
